,videoId,channelTitle,publishedAt,channelId,title
0,BWem2vsmUng,Music Trends,2020-04-25T13:15:18Z,UCVhrp8-fNwXMZWDql37AqRw,阿悠悠 - 旧梦一场 (DJ版) Một Giấc Mộng Xưa - A Du Du (Remix Tiktok) || China Mix New Song 2020 || Douyin
1,y9MyGeDJbIc,Angelic Music World,2020-05-25T12:24:53Z,UC_ol0nA8RUpyRTleAcu8JVw,【抖音DJ版】阿悠悠 - 舊夢一場【動態歌詞】「早知驚鴻一場 何必情深一往」♪
2,kiWgLBOZTAI,Gấu-Ka Remix,2020-05-08T10:07:02Z,UCS70q3cY20sM5ydxKGy6lsw,Một Giấc Mộng Xưa Remix - A Du Du - 阿悠悠 - 旧梦一场 (DJ版) | Bài Hát Được Yêu Thích Trên Tik Tok
3,HSa58-QddWs,Cax Music Channel,2019-01-27T08:33:55Z,UC14tRUzcA41NlRP02_6MsgA,【抖音版】阿悠悠《一曲相思》（原唱：半陽）Một khúc tương tư 動態歌詞『濁酒一杯，餘生不悲不喜』Lyrics
4,xqJe9a5lODg,Time fou k,2019-02-04T03:36:20Z,UCkSBeAZZMx0gudyZ_GlFxBQ,一曲相思--阿悠悠-完整版
